Country,GDPpc2015
Sweden,51545.4836095322
Russia,9313.01362484996
Italy,30230.2263021296
Belgium,40991.8081381432
Australia,56755.7217124249
Estonia,17522.230186252
Serbia,5585.1178082606
Norway,74355.5158575643
Latvia,13698.9379476476
Israel,35776.7951710172
Azerbaijan,5500.31038244408
Spain,25732.0183647454
Slovenia,20881.7667686947
Georgia,4014.18594419329
UnitedKingdom,44974.8318771782
Greece,18167.7737169162
Romania,8977.43738227167
Armenia,3607.29669672271
Albania,3952.80121524465
Hungary,12651.5683423004
Cyprus,23333.7149112129
France,36638.184929157
Lithuania,14249.1149666026
Poland,12572.4266045561
Austria,44178.0473777432
Montenegro,6517.16375162528
Germany,41139.5445685533
