Country,Female,Group,Interaction
Montenegro,0,0,0
Malta,#N/A,#N/A,#N/A
Finland,#N/A,#N/A,#N/A
Greece,1,0,0
Romania,0,1,0
Belarus,#N/A,#N/A,#N/A
Albania,1,0,0
Moldova,#N/A,#N/A,#N/A
Azerbaijan,0,0,0
Latvia,1,0,0
Serbia,1,0,0
Denmark,#N/A,#N/A,#N/A
Switzerland,#N/A,#N/A,#N/A
Belgium,0,0,0
France,1,0,0
Armenia,1,1,1
Ireland,#N/A,#N/A,#N/A
Sweden,0,0,0
Germany,1,0,0
Australia,0,0,0
CzechRepublic,#N/A,#N/A,#N/A
Spain,1,0,0
Austria,0,1,0
Macedonia,#N/A,#N/A,#N/A
Slovenia,1,1,1
Hungary,1,0,0
UnitedKingdom,1,1,1
Lithuania,1,1,1
Netherlands,#N/A,#N/A,#N/A
Poland,1,0,0
Israel,0,0,0
Russia,1,0,0
SanMarino,#N/A,#N/A,#N/A
Italy,0,1,0
Iceland,#N/A,#N/A,#N/A
Cyprus,0,0,0
Norway,1,1,1
Portugal,#N/A,#N/A,#N/A
Estonia,1,1,1
Georgia,1,0,0
